"Year","Month","Median","2.5 Percentile","97.5 Percentile"
1950,1,41.41,35.89,47.46
1950,2,40.38,35.12,45.28
1950,3,29.24,24.36,33.5
1950,4,15.51,10.5,20.38
1950,5,4.08,-0.84,10.11
1950,6,40.7,34.36,48.05
1950,7,65.05,58.75,73.46
1950,8,104.7,98,112.92
1950,9,146.61,137.44,155.94
1950,10,137.52,129.91,145.98
1950,11,185.78,177.46,194.24
1950,12,86.9,80.24,93.23
1951,1,35.65,29.9,41.3
1951,2,18.42,13.64,23.37
1951,3,15.22,10.55,19.95
1951,4,6.04,1.08,10.5
1951,5,14.54,9.41,19.71
1951,6,34.22,27.79,40.41
1951,7,76.93,70.61,83.94
1951,8,125.04,118.82,131.71
1951,9,176.73,167.79,185.82
1951,10,167.14,159.88,174.33
1951,11,163.45,154.94,171.57
1951,12,79.7,73.35,86.27
1952,1,35.83,29.87,41.5
1952,2,24,19.22,29.35
1952,3,18.89,14.38,23.36
1952,4,8.14,2.9,12.99
1952,5,29.52,24.14,34.45
1952,6,35.05,28.78,41.34
1952,7,98.61,92.56,105.57
1952,8,120.57,113.98,127.73
1952,9,172.93,164.17,181.21
1952,10,243.05,236.01,250.33
1952,11,109,100.98,117.52
1952,12,78.42,72.27,85.71
1953,1,36.94,31.25,43.02
1953,2,35.85,30.77,40.54
1953,3,19.82,15.44,24.59
1953,4,25.86,20.76,30.47
1953,5,16.24,11.35,21.93
1953,6,33.55,27.7,40.18
1953,7,93.01,86.56,99.94
1953,8,117.69,111.23,124.43
1953,9,190.86,182.38,199.32
1953,10,158.54,151.38,166.36
1953,11,144,135.73,152.55
1953,12,122.75,116.7,129.4
1954,1,49.15,43.05,55.26
1954,2,18.41,13.55,23.53
1954,3,30.06,25.27,34.15
1954,4,8.66,3.83,13.44
1954,5,33.49,28.39,38.93
1954,6,35.42,29.56,42.47
1954,7,83.4,77.27,90.53
1954,8,131.08,124.52,138.21
1954,9,141.75,133.15,150.86
1954,10,174.08,166.97,181.75
1954,11,133.87,125.76,141.99
1954,12,100.15,93.28,106.9
1955,1,55.25,48.72,61.09
1955,2,19.75,14.89,24.61
1955,3,22.91,18.03,27.28
1955,4,3.48,-1.19,8.71
1955,5,29.54,24.56,34.41
1955,6,52.53,46.62,58.7
1955,7,77.92,71.72,85.2
1955,8,142,135.34,148.82
1955,9,176.65,168.42,184.84
1955,10,200.82,191.86,208.03
1955,11,171.15,163.06,179.88
1955,12,81.83,74.92,88.07
1956,1,36.79,30.72,42.9
1956,2,24,18.79,28.69
1956,3,22.31,16.89,26.42
1956,4,12.32,6.56,16.55
1956,5,21.84,15.54,26.44
1956,6,32.75,26.45,38.51
1956,7,68.35,61.52,74.9
1956,8,103.34,96.79,109.89
1956,9,169.76,160.87,177.99
1956,10,148.02,140.27,155.01
1956,11,168.31,159.42,176.86
1956,12,71.53,65.05,77.67
1957,1,54.13,47.55,59.76
1957,2,17.48,12.17,22.01
1957,3,15.3,10.45,19.38
1957,4,11.43,5.86,16.12
1957,5,29.87,23.76,34.8
1957,6,32.74,26.66,39.38
1957,7,79.69,72.79,85.85
1957,8,137.22,129.96,143.46
1957,9,154.85,144.74,164
1957,10,194.61,186.43,201.84
1957,11,135.79,127.62,144.31
1957,12,79.81,72.88,85.99
1958,1,48.79,42.69,54.49
1958,2,38.11,31.43,42.99
