"Year","Month","Median","2.5 Percentile","97.5 Percentile"
1950,1,343.54,317.56,372.04
1950,2,174.06,149.73,197.62
1950,3,238.74,211.6,265.11
1950,4,200.89,174.92,224.62
1950,5,48.25,27.29,70.83
1950,6,43.6,22.58,66.73
1950,7,26.82,10.18,48.19
1950,8,17.01,6.77,34.66
1950,9,34.7,14.04,57.12
1950,10,56.16,32.6,81.32
1950,11,93.51,70.02,117.85
1950,12,154.08,128.46,181.09
1951,1,172.75,147.85,198.34
1951,2,182.98,155.4,207.66
1951,3,191.28,165.92,217.54
1951,4,148.07,122.51,170.95
1951,5,82.16,58.31,107.06
1951,6,39.81,20.67,62.5
1951,7,31.87,13.29,53.58
1951,8,18.28,7.18,35.58
1951,9,17.94,6.45,35.44
1951,10,42.13,21,65.17
1951,11,100.7,77.88,123.66
1951,12,91.91,66.62,117.45
1952,1,279.15,254.11,304.04
1952,2,116.5,93.13,140.21
1952,3,180.49,156.2,205.28
1952,4,140.64,116.74,165.31
1952,5,67.66,44.65,91.07
1952,6,26.24,11.72,46.14
1952,7,17.56,6.86,35.27
1952,8,16.81,6.42,33.14
1952,9,19.68,7.42,38.94
1952,10,14.44,5.32,29.35
1952,11,30.79,14.35,50.74
1952,12,71.73,47.3,95.68
1953,1,99.16,75.24,121.72
1953,2,58.16,36.2,82.06
1953,3,125.72,100.51,151.15
1953,4,65.4,45.87,87.28
1953,5,79.17,55.92,100.9
1953,6,38.87,18.97,60.77
1953,7,23.01,9.16,42.71
1953,8,17.73,7.32,34.73
1953,9,12.62,4.76,27.1
1953,10,16.49,6.35,33.17
1953,11,29.37,13.8,49.21
1953,12,42.78,23.34,64.58
1954,1,86.14,63.74,110.53
1954,2,111.66,87.95,136.01
1954,3,164.23,139.74,189.13
1954,4,160.46,136.88,183.57
1954,5,34.65,17.29,54.63
1954,6,30.75,13.89,51.94
1954,7,21.5,8.14,41.49
1954,8,25.58,10.67,47.04
1954,9,18.36,6.97,35.41
1954,10,152.78,130.24,175.99
1954,11,55.01,32.92,78.38
1954,12,78.9,54.21,102.09
1955,1,131.1,106.15,154.92
1955,2,90.13,66.99,114.46
1955,3,204.88,180.7,231.97
1955,4,94.91,73.35,118.64
1955,5,28.43,13.55,48.34
1955,6,24.94,11.46,43.59
1955,7,21.24,7.78,40.45
1955,8,21.3,8.08,39.53
1955,9,21.08,7.96,40.54
1955,10,61.04,37.91,84.63
1955,11,80.53,56.73,104.05
1955,12,52.83,32.1,76.05
1956,1,21.73,10.95,36.49
1956,2,93.65,69.52,116.21
1956,3,195.05,171.31,221.4
1956,4,118.01,94.94,141.57
1956,5,162.41,138.45,187.96
1956,6,45.27,24.46,67.03
1956,7,28.32,11.87,50.04
1956,8,32.04,13.6,54.49
1956,9,16.97,6.12,34.69
1956,10,28.09,11.62,48.67
1956,11,21.76,10.3,39.34
1956,12,75.46,52.3,98.93
1957,1,82.91,61.72,106.23
1957,2,85.01,62.88,107.1
1957,3,76.47,53.86,100.56
1957,4,209.5,185.26,233.84
1957,5,56.43,34.92,80.13
1957,6,52.92,31.29,76.92
1957,7,61.81,39.99,85.86
1957,8,16.14,6.04,33.82
1957,9,24.55,9.58,44.36
1957,10,33.48,14.56,54.83
1957,11,60.26,37.08,82.53
1957,12,130.57,107.89,154.84
1958,1,63.32,41.46,87.26
1958,2,38.88,20.6,60.69
1958,3,69.41,48.16,91.75
1958,4,60.96,42.2,81.53
1958,5,30.77,15.25,50.51
1958,6,51.93,29.43,75.08
1958,7,43.34,20.72,66.1
1958,8,35.88,16.51,57.08
1958,9,25.86,10.01,46.71
1958,10,19.28,7.22,37.62
1958,11,34.58,16.86,55.6
1958,12,40.19,20.98,62.64
1959,1,134.4,112.25,158.03
1959,2,166.24,143.23,189.03
1959,3,148.88,124.96,174.23
1959,4,144.7,120.42,169.51
