"Year","Month","Median","2.5 Percentile","97.5 Percentile"
1950,1,93.05,83.49,102.46
1950,2,60.27,51.08,69.35
1950,3,98.69,88.64,108.26
1950,4,137.8,126.22,149.81
1950,5,101.86,91.71,112.29
1950,6,56.36,46.37,66.26
1950,7,37.55,29.11,46.08
1950,8,30.82,23.97,38.71
1950,9,33.48,24.77,42.08
1950,10,33.38,25.03,42.54
1950,11,47.27,38.29,57.21
1950,12,69.18,60.36,78.76
1951,1,72.93,63.59,81.65
1951,2,66.49,58.01,75.69
1951,3,97.94,88.46,108.84
1951,4,177.67,166.66,188.86
1951,5,89.4,78.83,99.72
1951,6,48.22,39.24,57.59
1951,7,51.11,42.81,59.72
1951,8,37.57,30.29,45.29
1951,9,35.87,27.75,44.48
1951,10,73.04,64.19,83
1951,11,103.84,94.32,113.37
1951,12,79.27,70.22,88.71
1952,1,99.94,91.3,109.45
1952,2,71.05,62.41,80.05
1952,3,89.04,79.6,98.47
1952,4,149.31,137.91,160.36
1952,5,72.69,62.84,83.31
1952,6,48.82,39.78,58.1
1952,7,43.64,35.6,52.19
1952,8,36.65,29.22,44.3
1952,9,28.19,19.94,35.95
1952,10,27.9,20.09,36.23
1952,11,44.5,35.83,53.67
1952,12,64.97,55.71,74.06
1953,1,59.51,50.7,68.35
1953,2,54.04,45.48,63.03
1953,3,102.56,93.06,112.73
1953,4,95.11,83.57,106.52
1953,5,83.87,73.66,94.09
1953,6,58.13,48.83,67.56
1953,7,40.32,32.28,48.89
1953,8,33.53,26.42,40.81
1953,9,25.52,18.07,33.6
1953,10,29.7,21.69,38.38
1953,11,30.6,22.01,39.34
1953,12,45.59,37.07,54.69
1954,1,49.63,41.65,58.19
1954,2,65.31,56.63,74.08
1954,3,90.54,80.45,100.44
1954,4,109.39,98.2,120.36
1954,5,87.49,77.46,97.68
1954,6,72.61,63.21,81.55
1954,7,43.73,35.69,52.38
1954,8,33.52,26.7,41.11
1954,9,35.09,26.98,43.74
1954,10,115.16,105.92,124.41
1954,11,71.76,62.4,81.25
1954,12,66.6,57.99,75.93
1955,1,71.32,62.94,80.37
1955,2,50.29,42.24,58.49
1955,3,85.76,76.1,96.08
1955,4,112.15,100.51,123.91
1955,5,50.28,41.04,60.2
1955,6,37.18,28.43,46.36
1955,7,21.66,15.17,28.73
1955,8,21.79,16.19,27.62
1955,9,20.98,14.14,28.64
1955,10,34.52,26.25,43.19
1955,11,56.3,46.62,66.15
1955,12,51.76,43.26,61.19
1956,1,50.25,42.02,58.98
1956,2,42.19,34.03,50.3
1956,3,70.86,61.08,80.89
1956,4,102.17,91.14,113.07
1956,5,116.31,106.28,127.01
1956,6,50.21,41.14,59.5
1956,7,45.78,37.56,54.23
