"Year","Month","Median","2.5 Percentile","97.5 Percentile"
1950,1,141.98,132.11,151.77
1950,2,124.74,116.28,133.24
1950,3,109.45,102.21,116.87
1950,4,97.82,91.32,104.6
1950,5,252.64,237.6,267.38
1950,6,67.64,46.53,89.12
1950,7,67.76,52.75,83.08
1950,8,61.29,48.42,73.26
1950,9,198.13,186.59,209.22
1950,10,101.65,90.19,113.05
1950,11,193.61,181.87,206.18
1950,12,187.37,176.2,198.7
1951,1,134.95,124.57,144.62
1951,2,105.31,96.97,113.77
1951,3,86.23,79.16,93.1
1951,4,72.41,65.64,79.17
1951,5,132.86,118.24,148.26
1951,6,86.01,64.5,106.26
1951,7,101.71,85.18,117.04
1951,8,133.88,120.86,146.31
1951,9,112.96,102.66,124.56
1951,10,214.46,202.65,226.72
1951,11,212.59,200.57,224.85
1951,12,265.45,254.04,277.03
1952,1,178.32,168.23,188.76
1952,2,137.03,128.44,145.81
1952,3,106.6,99.61,113.62
1952,4,55.66,48.91,62.23
1952,5,28.35,12.95,44.39
1952,6,61.1,40.69,82.97
1952,7,60.04,44.91,75.79
1952,8,45.39,33.35,57.9
1952,9,36.21,25.17,47.6
1952,10,35.19,23.59,46.45
1952,11,25.84,13.99,37.74
1952,12,96.48,84.98,107.46
1953,1,172.3,162.27,182.65
1953,2,108.93,100.79,118.16
1953,3,90.1,82.96,96.99
1953,4,91.03,84.57,97.36
1953,5,151.41,136.49,166.83
1953,6,265.01,244.18,283.97
1953,7,262.84,247.76,278.6
1953,8,37.51,24.86,50.76
1953,9,39.65,27.66,50.47
1953,10,91.52,78.77,102.73
1953,11,223.17,211.92,235.28
1953,12,149.13,138.06,160.36
1954,1,210.57,200.11,220.83
1954,2,156.96,148.32,165.67
1954,3,123.9,116.97,131.03
1954,4,109.75,103.38,116.15
1954,5,210.82,195.65,227.01
1954,6,75.17,53.2,96.32
1954,7,37.96,22.74,53.03
1954,8,168.71,156.35,180.92
1954,9,167.54,156.04,179.42
1954,10,168.67,157,180.5
1954,11,180.84,168.97,192.19
1954,12,213.2,201.86,223.84
1955,1,143.75,133.67,153.99
1955,2,126.99,117.84,135.15
1955,3,112.36,105.19,119.12
1955,4,114.45,107.55,121.46
1955,5,274.91,260.32,289.66
1955,6,306.47,286,326.46
1955,7,274.99,258.52,290.65
1955,8,159.19,146.52,171.3
1955,9,121.1,109.97,132.23
1955,10,108.72,97.06,120.26
1955,11,125.33,113.4,136.35
1955,12,133.19,122.09,144.83
1956,1,123.46,113.5,133.21
1956,2,110.94,102.45,119.65
1956,3,97.68,90.53,105.12
1956,4,92.74,85.95,99.09
1956,5,135.87,120.88,151.33
1956,6,411,391.34,430.32
1956,7,319.79,304.19,334.87
1956,8,195.75,182.9,208.29
1956,9,135.96,124.81,147.18
1956,10,125.05,112.92,137.13
1956,11,122.7,110.64,134.83
1956,12,131.08,119.73,142.2
1957,1,107.08,96.52,117
1957,2,89.56,80.81,98.23
1957,3,82.49,75.33,89.39
1957,4,91.94,85.55,98.6
1957,5,265.86,250.73,281.31
1957,6,308.18,288.16,328.89
1957,7,76.28,60.62,91.98
1957,8,187.47,175.33,200.62
1957,9,125.18,113.3,136.17
1957,10,119.74,108.27,131.53
1957,11,156.06,144.4,167.97
1957,12,128.86,117.13,139.77
