"Year","Month","Median","2.5 Percentile","97.5 Percentile"
1950,1,26.84,20.08,34.31
1950,2,21.82,16.42,28.23
1950,3,30.2,22.48,38.04
1950,4,58.76,47.69,69.55
1950,5,217.8,204.06,230.83
1950,6,81.45,71.66,91.38
1950,7,60.9,51.86,70.8
1950,8,41.52,32.58,51.01
1950,9,30.07,21.55,39.41
1950,10,46.54,37.07,56.88
1950,11,41.63,32.67,50.7
1950,12,33.31,24.78,42.11
1951,1,28.76,22.13,36.3
1951,2,31.6,24.43,39.23
1951,3,40.65,32.38,48.66
1951,4,119.33,107.57,130.27
1951,5,113.43,101.4,125.12
1951,6,58.99,49.69,68.81
1951,7,39.84,30.75,48.89
1951,8,30.96,22.34,39.61
1951,9,49.71,40.79,59.03
1951,10,64.07,54.61,72.97
1951,11,60.67,50.83,69.73
1951,12,47.07,38.19,55.7
1952,1,34.54,27.08,42.88
1952,2,26.61,20.12,33.86
1952,3,37.01,28.68,44.97
1952,4,95.95,85.02,107.6
1952,5,52.86,41.54,64.64
1952,6,45.73,36.34,55.97
1952,7,62.53,52.95,71.76
1952,8,38.8,29.94,47.54
1952,9,24.72,16.17,33.42
1952,10,24.28,16.33,32.86
1952,11,29.4,21.3,37.89
1952,12,29.73,22.2,37.75
1953,1,29.21,21.96,37
1953,2,26.14,19.6,33.52
1953,3,44.33,35.54,53.03
1953,4,72.89,62.58,84.11
1953,5,99.67,87.69,111.78
1953,6,83.89,73.65,94.38
1953,7,53.44,43.55,62.36
1953,8,43.63,34.76,52.93
1953,9,21.99,13.98,30.84
1953,10,30.11,21.65,38.76
1953,11,29.88,22.02,38.33
1953,12,37.45,29.4,46.4
1954,1,32.2,24.69,40.59
1954,2,28.83,22.11,36.48
1954,3,39.92,31.8,48.58
1954,4,99.99,88.93,111.49
1954,5,135.81,123.76,147.49
1954,6,73.91,64.72,83.76
1954,7,35.16,26.14,44.35
1954,8,23.5,15.79,31.5
1954,9,23.51,15.38,32.05
1954,10,38.42,29.43,47.22
1954,11,35.5,27.51,44.28
1954,12,29.27,21.71,37.23
1955,1,28.77,21.46,36.44
1955,2,28.96,21.99,36.31
1955,3,34.71,27.21,42.66
1955,4,99.63,88.72,111.43
1955,5,51.46,39.99,62.77
1955,6,30.47,22.36,39.08
1955,7,24.58,17.35,33.51
1955,8,29.79,21.68,38.13
1955,9,23.16,15.05,32.03
1955,10,35.89,27.28,45.4
1955,11,44.43,35.54,53.67
1955,12,33.93,25.82,42.22
1956,1,32.55,25.22,40.41
1956,2,24.61,18.45,31.45
1956,3,27.11,20.13,34.63
1956,4,65.55,54.5,76.45
1956,5,89.57,78.07,101.39
1956,6,42.41,33.7,51.69
1956,7,41.39,32.29,50.42
1956,8,24.45,16.69,33.13
1956,9,24.36,16.1,32.65
1956,10,29.26,20.59,38.13
1956,11,29.72,21.72,38.48
1956,12,26.83,19.36,34.77
1957,1,21.31,15.7,28.02
1957,2,22.28,16.91,28.82
1957,3,34.61,26.57,42.55
1957,4,88.52,77.49,99.79
1957,5,64.5,53.32,76.09
1957,6,44.74,35.34,54.67
1957,7,41.68,33.01,50.59
1957,8,22.96,15.47,31.36
1957,9,23.3,15.26,31.94
1957,10,29.48,20.7,38.13
1957,11,40.08,31.61,49.18
1957,12,32.94,25,40.92
1958,1,32.43,25.21,40.04
1958,2,27.02,20.25,34.65
1958,3,31.69,24.08,39.77
1958,4,52.35,41.38,62.72
1958,5,34.62,23.93,45.71
1958,6,36.02,27.2,45.56
1958,7,45.68,36.4,55.1
1958,8,27.16,18.97,35.89
1958,9,37.77,28.71,47.72
1958,10,35.27,26.72,44.69
1958,11,42.73,34.04,51.94
1958,12,36.04,27.76,44.49
1959,1,31.01,23.84,38.85
1959,2,26.91,20.4,33.77
1959,3,35.13,27.15,43.63
1959,4,55.33,45.09,66.94
1959,5,83.48,71.49,95.61
1959,6,45.22,35.93,54.77
1959,7,28.15,19.87,37.03
1959,8,31.74,23.21,40.98
1959,9,38.58,29.28,47.73
1959,10,58.38,48.64,68.12
1959,11,42.89,34.12,51.69
1959,12,33.67,25.78,41.86
1960,1,31.19,24.04,38.98
1960,2,23.34,17.59,29.46
1960,3,28.02,20.97,35.64
1960,4,96.23,85.5,106.97
1960,5,126.66,114.59,138.94
1960,6,44.87,35.71,54.65
1960,7,29.31,20.99,38.11
1960,8,23.17,15.39,31.13
1960,9,19.38,11.76,27.58
1960,10,26.01,17.85,34.69
1960,11,44.44,35.4,53.65
1960,12,30.68,22.69,38.85
1961,1,27.69,20.87,35.16
1961,2,25.98,19.73,33.03
1961,3,37.31,29.68,45.55
1961,4,64.24,53.34,75.34
1961,5,73.08,61.42,84.87
1961,6,38.63,29.39,48.21
1961,7,25.52,17.92,33.8
1961,8,18.47,11.7,25.96
1961,9,26.66,18.27,35.6
1961,10,45.79,36.5,54.96
1961,11,41.4,32.49,50.25
1961,12,36.5,28.23,44.45
1962,1,26.57,19.96,34.03
1962,2,26.45,19.98,33.42
1962,3,33.53,25.87,41.68
1962,4,50.34,40.09,61.77
1962,5,84.75,73.25,96.16
1962,6,37.66,28.5,46.95
1962,7,24.91,16.93,33.43
1962,8,25.15,17.23,33.7
1962,9,27.16,19.01,36.6
1962,10,26.65,18.47,35.03
1962,11,28.55,20.7,36.88
1962,12,28.42,21.01,36.37
1963,1,29.87,22.86,37.73
1963,2,22.76,16.88,29.61
1963,3,35.65,27.83,44.2
1963,4,60.47,49.89,71.69
1963,5,53.51,42.43,65.64
1963,6,61.5,52.09,70.9
1963,7,27.93,19.94,36.23
1963,8,23.87,16.3,32.57
1963,9,20.77,13.16,29.62
1963,10,27.81,19.04,36.72
1963,11,30.43,22.66,38.63
